step,fraud_count
1,16
10,11
100,6
101,12
102,12
103,8
104,14
105,18
106,18
107,10
108,8
109,12
11,7
110,10
111,10
112,2
113,6
114,4
115,10
116,14
117,12
118,12
119,10
12,14
120,12
121,14
122,14
123,6
124,4
125,10
126,6
127,14
128,8
129,6
13,14
130,6
131,16
132,10
133,10
134,10
135,8
136,10
137,12
138,4
139,4
14,12
140,14
141,8
142,8
143,16
144,10
145,14
146,10
147,6
148,12
149,22
15,20
150,14
151,18
152,6
153,10
154,10
155,8
156,18
157,16
158,8
159,10
16,10
160,26
161,14
162,10
163,8
164,14
165,4
166,6
167,6
168,2
169,10
17,7
170,16
171,14
172,10
173,14
174,10
175,8
176,10
177,18
178,14
179,8
18,16
180,10
181,11
182,8
183,16
184,8
185,16
186,17
187,10
188,10
189,10
19,11
190,8
191,12
192,10
193,8
194,12
195,10
196,8
197,4
198,12
199,10
2,8
20,4
200,8
201,8
202,2
203,8
204,6
205,16
206,12
207,6
208,21
209,6
21,5
210,8
211,14
212,40
213,8
214,12
215,10
216,6
217,16
218,12
219,10
22,23
220,6
221,10
222,8
223,8
224,10
225,12
226,12
227,14
228,16
229,8
23,2
230,17
231,17
232,10
233,12
234,14
235,10
236,10
237,12
238,14
239,10
24,6
240,14
241,18
242,8
243,8
244,12
245,4
246,4
247,8
248,10
249,28
25,18
250,22
251,10
252,2
253,10
254,10
255,8
256,8
257,6
258,8
259,10
26,12
260,12
261,20
262,22
263,6
264,8
265,12
266,10
267,8
268,6
269,14
27,8
270,16
271,12
272,12
273,20
274,20
275,10
276,10
277,14
278,4
279,22
28,4
280,4
281,18
282,18
283,8
284,16
285,16
286,8
287,10
288,10
289,12
29,4
290,8
291,10
292,8
293,4
294,18
295,10
296,22
297,8
298,4
299,10
3,4
30,8
300,8
301,4
302,8
303,14
304,2
305,14
306,12
307,16
308,6
309,8
31,12
310,10
311,16
312,10
313,10
314,6
315,12
316,12
317,20
318,6
319,8
32,12
320,14
321,8
322,16
323,10
324,10
325,10
326,14
327,10
328,18
329,6
33,12
330,10
331,6
332,6
333,8
334,4
335,4
336,18
337,10
338,4
339,10
34,22
340,10
341,10
342,14
343,12
344,6
345,12
346,6
348,8
349,18
35,15
350,14
351,18
352,16
353,8
354,12
355,8
356,6
357,18
358,10
359,12
36,19
360,8
361,14
362,20
363,14
364,6
365,14
366,10
367,14
368,6
369,6
37,13
370,18
371,6
372,8
373,12
374,14
375,10
376,4
377,10
378,4
379,16
38,16
380,14
381,4
382,8
383,14
384,6
385,8
386,16
387,28
388,18
389,10
39,12
390,12
391,12
392,10
393,4
394,10
395,8
396,8
397,10
398,26
399,12
4,10
40,14
400,16
401,16
402,12
403,16
404,18
405,10
406,24
407,6
408,10
409,20
41,12
410,20
411,16
412,8
413,14
414,16
415,16
416,8
417,6
418,6
419,10
42,14
420,12
421,14
422,10
423,6
424,14
425,28
426,2
427,14
428,6
429,4
43,13
430,8
431,6
432,4
433,6
434,8
435,4
436,16
437,16
438,12
439,12
44,8
440,18
441,10
442,12
443,10
444,20
445,6
446,12
447,10
448,6
449,6
45,16
450,16
451,4
452,10
453,8
454,6
455,10
456,18
457,10
458,6
459,8
46,14
460,16
461,16
462,16
463,10
464,16
465,12
466,6
467,12
468,12
469,8
47,21
470,12
471,2
472,8
473,10
474,8
475,14
476,8
477,10
478,6
479,4
48,10
480,6
481,14
482,16
483,8
484,6
485,12
486,8
487,14
488,8
489,14
49,4
490,10
491,12
492,6
493,8
494,8
495,16
496,6
497,20
498,12
499,10
5,6
50,6
500,4
501,28
502,12
503,10
504,10
505,8
506,8
507,14
508,6
509,14
51,14
510,10
511,6
512,12
513,10
514,14
515,6
516,14
517,6
518,8
519,12
52,8
520,12
521,14
522,14
523,30
524,4
525,2
526,12
527,6
528,14
529,6
53,10
530,8
531,14
532,6
533,12
534,12
535,6
536,12
537,18
538,10
539,4
54,4
540,6
541,12
542,10
543,6
544,6
546,10
547,8
548,2
549,12
55,12
550,8
551,18
552,10
553,8
554,18
555,6
556,6
557,20
558,14
559,10
56,18
560,10
561,16
562,10
563,18
564,16
565,12
566,6
567,10
568,14
569,14
57,6
570,10
571,10
572,18
573,8
574,4
575,8
576,14
577,12
578,20
579,12
58,20
580,10
581,10
582,16
583,16
584,8
585,6
586,12
587,6
588,12
589,2
59,20
590,8
591,12
592,10
593,4
594,10
595,12
596,8
597,6
598,4
599,6
6,22
60,12
600,18
601,10
602,8
603,12
604,8
605,16
606,14
607,8
608,16
609,8
61,14
610,12
611,14
612,12
613,20
614,16
615,8
616,6
617,16
618,8
619,14
62,8
620,8
621,18
622,4
623,6
624,10
625,24
626,6
627,4
628,6
629,20
63,8
630,4
631,12
632,8
633,8
634,10
635,16
636,12
637,12
638,14
639,14
64,18
640,14
641,10
642,8
643,14
644,10
645,10
646,20
647,10
648,14
649,10
65,20
650,16
651,10
652,14
653,8
654,8
655,4
656,16
657,10
658,14
659,10
66,24
660,12
661,8
662,2
663,10
664,20
665,10
666,6
667,6
668,8
669,8
67,6
670,12
671,18
672,8
673,12
674,14
675,10
676,8
677,8
678,6
679,6
68,18
680,22
681,4
682,6
683,8
684,8
685,14
686,16
687,8
688,8
689,14
69,20
690,12
691,12
692,20
693,4
694,24
695,10
696,6
697,12
698,16
699,16
7,12
70,6
700,6
701,18
702,14
703,8
704,16
705,10
706,4
707,10
708,4
709,8
71,20
710,14
711,8
712,12
713,8
714,14
715,10
716,8
717,12
718,16
719,14
72,14
720,10
721,4
722,10
723,14
724,14
725,4
726,22
727,12
728,10
729,4
73,8
730,28
731,16
732,10
733,10
734,8
735,12
736,14
737,10
738,10
739,10
74,22
740,6
741,22
742,14
743,8
75,8
76,4
77,10
78,10
79,10
8,12
80,10
81,10
82,10
83,12
84,16
85,14
86,18
87,6
88,8
89,6
9,19
90,16
91,8
92,10
93,16
94,12
95,14
96,4
97,10
98,14
99,8
